Title	Complement	POS_1	Definition_1
Աբաս	ի, այ, աւ	np.	Abas.
Աբգար	րու, աւ	np.	Abgar.
Աբգարոս	րու	np.	cf. Աբգար.
Աբդիաս	դիայ, դիու	np.	Abdias.
Աբեններ	րայ	np.	Abner.
Աբեսողոմ	մայ	np.	Absalom.
Աբէլ	լիւ	np.	Abel.
Աբիա	այ	np.	Abia.
Աբիադար	րայ	np.	cf. Աբիաթար.
Աբիաթար	րայ	np.	Abiathar.
Աբիմելէք	քայ	np.	Abimelech.
Աբիսակ	կայ	np.	Abisag, Abishag.
Աբիրոն	նայ	np.	Abiron.
Աբուբեքիր	րայ	np.	Abu Bakr.
Աբրահամ	մու, աւ	np.	Abraham.
Ագաբոս	սիւ	np.	Agabus.
Ագագ	գայ	np.	Agag.
Ագաթա	այ	np.	Agatha.
Ագաթանգեղոս	ի, սիւ	np.	Agathangelos.
Ագաթոկղէս	ղի	np.	Agathocles.
Ագամեմնոն	նիւ	np.	Agamemnon.
Ագար	րայ	np.	Hagar.
Ագեսիղայոս	սիւ	np.	Agesilaus.
Ագնէս	նեսի, նեսաւ	np.	Agnes.
Ագրիպպաս	պայ	np.	Agrippa.
Ադամ	մայ	np.	Adam.
Ադոնիա	այ	np.	Adonijah.
Ադոնիբեղեկ	կայ	np.	Adonibezek.
Ադրիանոս	սիւ	np.	Adrian.
Ազայէլ	լիւ	np.	Azazel.
Ազարիա	այ, այի	np.	Azariah, Azarias.
Աէտիոս	սիւ	np.	Aetius, Aetios.
Աթանագինէ	նեայ	np.	Athanagenes.
Աթանաս	սիւ	np.	Athanasius.
Աթենաս	այ	np.	Athena, Minerva, Pallas.
Աժդահակ	կայ	np.	Astyages.
Ալբերտ	տի	np.	Albert.
Ալեքսիանոս		np.	Alexios; Ալեքսիոս Կոմնենոս, Alexios Komnenos.
Ալփոնսոս	սիւ	np.	Alphonse.
Ակակիոս	սիւ	np.	Acacius.
Ահարոն	նիւ	np.	Aaron.
Աղեքսանդր	ի, ու, աւ	np.	Alexander.
Աղկիբիադ	դեայ	np.	Alcibiades.
Ամազունք	նից	np.	Amazons.
Ամաղէկ	կայ	np.	Amalek.
